Species,bio14_contribution,bio15_contribution,bio18_contribution,bio19_contribution,bio2_contribution,bio3_contribution,bio8_contribution,elev_contribution
Anthipes_monileger,7.5324,1.9738,5.4557,8.9985,54.8353,4.4035,5.1974,11.6033
Brachypteryx_cruralis,5.0016,0.9326,6.662,6.0594,7.1597,3.9378,44.2774,25.9696
Brachypteryx_hyperythra,0.527,2.1372,1.0904,63.0135,8.7573,19.4941,3.5426,1.438
Brachypteryx_leucophris,6.0995,5.4736,10.7212,20.7118,27.1047,3.2471,10.412,16.2299
Calliope_calliope,16.3636,10.4392,3.792,2.379,1.373,7.0621,50.0702,8.5209
Cinclidium_frontale,11.3693,1.8808,4.3416,11.6027,17.6826,2.5061,33.314,17.303
Copsychus_saularis,0.6249,2.716,0.153,1.7918,0.8911,2.3008,90.8877,0.6347
Cyornis_magnirostris,1.561,0.7071,2.1478,5.6911,33.8624,48.2976,0.0633,7.6698
Cyornis_poliogenys,5.1737,1.6206,4.9361,3.1422,9.4363,0.6311,71.3756,3.6845
Cyornis_rubeculoides,2.2194,9.71,6.4222,9.3442,25.3878,7.5272,12.1757,27.2134
Cyornis_unicolor,4.4721,8.3969,4.0149,15.5473,49.4875,1.998,6.7364,9.3469
Cyornis_whitei,16.5759,5.0479,8.7199,34.3809,18.1452,3.9378,1.4804,11.712
Enicurus_immaculatus,5.9552,1.0331,3.1947,12.7976,28.3731,0.5903,25.1622,22.8938
Enicurus_leschenaulti,6.9948,1.7233,4.448,63.191,12.7854,3.2343,1.5078,6.1154
Enicurus_maculatus,0.3131,7.4606,6.1925,11.5899,0.6157,7.1686,28.3222,38.3374
Enicurus_schistaceus,7.2246,26.1668,8.8449,24.8149,1.6996,1.3192,7.4298,22.5002
Enicurus_scouleri,7.097,8.1581,6.207,13.1512,0.6633,6.6431,20.6936,37.3867
Eumyias_thalassinus,8.03,12.3391,3.0476,14.365,5.591,13.4791,13.365,29.7833
Ficedula_albicilla,3.5267,9.0378,3.6717,1.3873,8.4259,2.7144,65.4892,5.747
Ficedula_hyperythra,2.8883,11.8471,8.5297,16.4382,43.4136,1.5136,5.963,9.4065
Ficedula_parva,9.2712,37.9418,3.81,6.1398,29.7063,10.4627,0,2.6682
Ficedula_sapphira,3.5587,3.8887,5.6104,36.0819,27.196,5.8112,7.7075,10.1456
Ficedula_strophiata,3.3434,4.7403,1.6107,11.4214,1.6102,10.367,36.2625,30.6444
Ficedula_superciliaris,5.1917,1.7241,7.5862,2.2392,2.4383,12.3005,27.981,40.5391
Ficedula_tricolor,1.7601,8.2037,7.1617,18.8627,1.4443,8.8484,25.7798,27.9393
Ficedula_westermanni,1.2503,18.9953,5.8559,3.1169,34.6614,5.3965,12.3183,18.4055
Heteroxenicus_stellatus,4.6959,24.9034,0.2828,0.7173,6.7849,7.7374,50.7325,4.1458
Larvivora_brunnea,10.5381,3.3809,2.1286,6.8568,2.0026,10.2014,38.2352,26.6563
Leucoptilon_concretum,14.5516,7.3103,1.7038,38.236,29.838,4.1342,0.0663,4.1598
Luscinia_phaenicuroides,1.3383,0.9707,4.7944,1.9291,4.6031,15.9644,68.6629,1.737
Luscinia_svecica,9.0129,7.8975,8.6966,8.6837,7.7875,0.4564,56.4421,1.0234
Monticola_cinclorhyncha,8.4681,3.6389,6.1034,5.5319,8.8165,7.4,17.2078,42.8333
Monticola_rufiventris,4.567,8.2243,2.7176,7.2116,8.7284,8.1962,25.6069,34.7479
Monticola_solitarius,8.4849,11.4683,3.7934,10.6111,9.9819,15.804,14.0304,25.8259
