species,elev_contribution126,tmax_contribution126,tmin_contribution126,prec_contribution126,elev_contribution245,tmax_contribution245,tmin_contribution245,prec_contribution245,elev_contribution270,tmax_contribution370,tmin_contribution370,prec_contribution370,elev_contribution585,tmax_contribution585,tmin_contribution585,prec_contribution585
Anthipes_monileger,15.18,28.94,54.43,1.45,12.41,28.24,56.61,2.75,19.49,21.75,54.51,4.25,20.25,23.05,54.74,1.96
Brachypteryx_cruralis,4.49,27.25,65.28,2.98,3.22,25.38,67.52,3.87,4.12,15.89,78.07,1.93,7.29,24.3,65.01,3.4
Brachypteryx_hyperythra,3.47,5.54,9.58,81.41,2.46,3.66,13.97,79.9,2.33,3.44,11.66,82.57,1.85,2.86,9.82,85.48
Brachypteryx_leucophris,8.86,9.45,68.03,13.65,9.51,12.84,66.31,11.34,15.7,7.14,55.57,21.59,14.73,3.26,69.82,12.2
Calliope_calliope,23.33,53.99,2.15,20.53,18.18,57.41,2.38,22.03,22.97,57.77,0.48,18.77,17.69,60.58,1.99,19.74
Cinclidium_frontale,2.58,35.27,58.93,3.22,2.63,37.42,53.76,6.2,3.46,27.22,67.21,2.11,3.74,27.95,65.88,2.43
Copsychus_saularis,4.06,91.68,1.51,2.76,5,87.45,3.44,4.11,10.73,85.24,1.24,2.79,3.24,91.93,1.45,3.37
Cyornis_magnirostris,31.85,17.27,40.08,10.8,40.88,21.3,34.1,3.71,43.89,22.85,26.79,6.46,36.14,14.37,42.46,7.03
Cyornis_poliogenys,14.38,71.28,8.48,5.86,10.01,66.77,15.25,7.97,20.54,63,10.08,6.37,15.64,66.76,11.13,6.47
Cyornis_rubeculoides,44.7,6.15,44.14,5.01,35.66,13.86,46.71,3.78,49.22,2.77,37.19,10.82,43.3,4.14,45.7,6.86
Cyornis_unicolor,23.77,18.57,53.48,4.18,24.48,22.88,48.1,4.54,26.32,9.47,50.87,13.35,37.19,6.15,52.31,4.35
Cyornis_whitei,19.82,3.37,6.67,70.15,15.54,4.41,7.6,72.46,24.8,6.17,3.47,65.56,39.69,5.49,7.53,47.28
Enicurus_immaculatus,50.24,17.26,28.05,4.46,36.52,12.85,44.28,6.35,58.86,7.41,20.72,13.01,60.92,6.31,27.78,4.99
Enicurus_leschenaulti,26.77,6.91,4.18,62.14,28.18,7.49,5.9,58.43,35.51,6.69,2.03,55.77,31.9,6.32,3.52,58.26
Enicurus_maculatus,15.78,13.8,69.11,1.31,15.8,13.41,69.85,0.94,17.35,8.75,65.78,8.12,19.34,6.79,71.99,1.88
Enicurus_schistaceus,28.11,14.12,54.76,3.01,26.99,14.99,54.74,3.28,30.13,2.8,51.79,15.28,36.63,4.56,54.05,4.77
Enicurus_scouleri,19.35,23.41,53.91,3.33,16.71,16.01,62.1,5.18,16.68,27.51,54.93,0.88,25.33,29.89,41.49,3.29
Eumyias_thalassinus,21.39,2.98,68.51,7.12,23.15,1.75,69.82,5.28,21.62,11.31,64.62,2.45,21.45,9.79,63.04,5.72
Ficedula_albicilla,1.2,73.96,20.59,4.25,4.26,66.7,25.09,3.95,12.94,73.13,11.57,2.36,3.42,79.36,13.2,4.02
Ficedula_hyperythra,40.08,10.91,44.81,4.19,34.82,19.19,36.84,9.14,41.35,5.27,33.96,19.42,53.15,6.46,32.07,8.32
Ficedula_parva,11.79,2.7,41.48,44.03,12.37,5.84,39.73,42.06,20.67,0.21,33.13,45.99,13.76,2.79,48.2,35.25
Ficedula_sapphira,16.64,12.56,56.83,13.97,12.44,11.07,56.03,20.46,21.55,4.01,57.61,16.83,23.09,7.79,52.46,16.66
Ficedula_strophiata,16.21,33.15,48.66,1.98,16.18,36.28,45.97,1.58,20.97,31.94,46.26,0.83,21.64,34.84,42.65,0.86
Ficedula_superciliaris,14.28,21.38,51.94,12.4,15.33,18.96,54.72,10.99,18.06,24,53.7,4.24,15.52,20.57,50.68,13.24
Ficedula_tricolor,12.72,21.9,62.82,2.55,8.06,16.54,72.84,2.55,12.23,20.96,63.43,3.38,14.55,22.74,59.32,3.4
Ficedula_westermanni,25.09,5.14,64.35,5.43,25.51,7.36,63.99,3.14,32.72,8.48,55.01,3.79,31.45,4.31,58.99,5.25
Heteroxenicus_stellatus,0.15,62.34,34.16,3.35,0,56.25,40.4,3.35,0.3,48.07,46.94,4.7,0.98,51.07,47.67,0.28
Larvivora_brunnea,7.8,27.45,51.5,13.25,5.42,27.46,57.2,9.93,8.26,18.15,68.7,4.89,8.41,16.18,64.85,10.56
