Species,forest,secondary_forest,bamboo,scrub,reeds,riverian_forests,rivers_and_streams,alpine,rocky_slopes,open,s.
Anthipes_monileger,1,0,1,0,0,0,0,0,0,0,0.541284404
Brachypteryx_cruralis,1,0,0,0,0,0,0,0,0,0,1
Brachypteryx_hyperythra,1,0,1,0,1,0,0,0,0,0,0.325688073
Brachypteryx_leucophris,1,0,0,0,0,0,1,0,0,0,0.541284404
Calliope_calliope,0,1,0,0,1,1,1,0,0,1,0.082568807
Cinclidium_frontale,1,0,1,0,0,0,0,0,0,0,0.541284404
Copsychus_saularis,1,1,1,0,0,1,1,0,0,1,0
Cyornis_magnirostris,1,1,0,0,0,0,0,0,0,0,0.541284404
Cyornis_poliogenys,1,0,0,1,0,0,0,0,0,1,0.325688073
Cyornis_rubeculoides,1,1,1,0,0,0,0,0,0,0,0.325688073
Cyornis_unicolor,1,1,1,0,0,0,0,0,0,0,0.325688073
Cyornis_whitei,1,0,1,0,0,0,0,0,0,0,0.541284404
Enicurus_immaculatus,1,0,0,0,0,0,0,0,0,0,1
Enicurus_leschenaulti,1,0,0,0,0,0,0,0,0,0,1
Enicurus_maculatus,1,0,0,0,0,0,0,0,0,0,1
Enicurus_schistaceus,0,0,0,0,0,0,1,0,0,0,1
Enicurus_scouleri,1,0,0,0,0,0,1,0,0,0,0.541284404
Eumyias_thalassinus,1,1,0,0,0,1,0,0,0,1,0.183486239
Ficedula_albicilla,1,0,0,0,0,0,0,0,0,1,0.541284404
Ficedula_hyperythra,1,0,1,0,0,0,0,0,0,0,0.541284404
Ficedula_parva,1,0,0,0,0,0,1,0,0,1,0.325688073
Ficedula_sapphira,1,0,0,0,0,0,0,0,0,1,0.541284404
Ficedula_strophiata,1,0,0,1,0,0,0,0,0,0,0.541284404
Ficedula_superciliaris,1,0,0,0,0,0,0,0,0,1,0.541284404
Ficedula_tricolor,1,1,1,0,0,0,0,0,0,0,0.325688073
Ficedula_westermanni,1,0,0,0,0,0,0,0,0,1,0.541284404
Heteroxenicus_stellatus,1,0,1,0,0,0,0,0,0,0,0.541284404
Larvivora_brunnea,1,0,1,0,0,0,0,0,0,0,0.541284404
Leucoptilon_concretum,1,1,1,1,0,0,0,0,0,0,0.183486239
Luscinia_phaenicuroides,1,1,1,1,0,0,0,0,0,0,0.183486239
Luscinia_svecica,1,0,0,1,1,1,0,0,0,1,0.082568807
Monticola_cinclorhyncha,1,1,1,0,0,0,0,0,1,0,0.183486239
Monticola_rufiventris,1,0,0,0,0,0,0,0,1,1,0.325688073
Monticola_solitarius,0,0,0,1,0,0,0,0,1,1,0.325688073
Muscicapa_dauurica,1,1,0,1,0,0,0,0,0,1,0.183486239
Muscicapa_ferruginea,1,1,0,0,0,0,0,0,0,0,0.541284404
Muscicapa_muttui,1,0,0,0,0,0,0,0,0,0,1
Muscicapa_sibirica,1,1,0,0,0,0,0,0,0,0,0.541284404
Myiomela_leucura,1,0,1,0,0,0,0,0,0,0,0.541284404
Myophonus_caeruleus,1,0,0,0,0,0,1,0,0,0,0.541284404
Niltava_grandis,1,0,0,0,0,0,0,0,0,0,1
Niltava_macgrigoriae,0,1,0,0,1,0,0,0,0,0,0.541284404
Niltava_sundara,1,1,0,0,0,0,0,0,0,0,0.541284404
Phoenicurus_auroreus,1,1,0,1,0,0,0,0,0,1,0.183486239
Phoenicurus_erythrogastrus,0,0,0,1,0,0,1,1,0,0,0.325688073
Phoenicurus_frontalis,1,0,0,1,0,0,0,1,0,0,0.325688073
Phoenicurus_fuliginosus,1,0,0,0,0,0,1,0,0,0,0.541284404
Phoenicurus_hodgsoni,1,0,0,1,0,0,1,0,0,1,0.183486239
Phoenicurus_leucocephalus,0,0,0,0,0,0,1,1,1,0,0.325688073
Phoenicurus_ochruros,0,0,0,1,0,0,0,0,1,1,0.325688073
Phoenicurus_schisticeps,1,1,0,0,0,0,1,0,0,1,0.183486239
Saxicola_caprata,0,0,0,1,1,0,0,0,0,1,0.325688073
Saxicola_ferreus,0,1,1,1,0,0,0,0,0,1,0.183486239
Saxicola_jerdoni,0,0,0,1,0,0,0,0,0,1,0.541284404
Saxicola_leucurus,0,0,0,0,1,0,1,0,0,0,0.541284404
Saxicola_maurus,0,0,0,1,1,0,0,1,1,1,0.082568807
Tarsiger_chrysaeus,1,1,1,1,0,0,0,1,0,1,0
Tarsiger_hyperythrus,1,1,0,0,0,0,1,0,0,0,0.325688073
Tarsiger_indicus,1,0,1,0,0,1,0,0,0,0,0.325688073
Tarsiger_rufilatus,1,1,0,0,0,0,0,0,0,1,0.325688073
